👿,1,people,Tue,23:57:36,221,toulouse
😌,1,people,Tue,23:57:35,395,toulouse
,0,,Tue,23:57:35,487,toulouse
,0,,Tue,23:57:32,6527,toulouse
,0,,Tue,23:57:25,4280,toulouse
,0,,Tue,23:57:23,869,toulouse
,0,,Tue,23:57:17,2438,toulouse
,0,,Tue,23:57:14,257,toulouse
,0,,Tue,23:57:13,4280,toulouse
,0,,Tue,23:57:11,65,toulouse
,0,,Tue,23:57:10,588,toulouse
🏽🙏,2,modifier people,Tue,23:57:09,224,toulouse
,0,,Tue,23:57:08,1852,toulouse
,0,,Tue,23:57:08,0,toulouse
,0,,Tue,23:57:04,0,toulouse
😐,1,people,Tue,23:57:02,869,toulouse
,0,,Tue,23:56:54,0,toulouse
,0,,Tue,23:56:51,86,toulouse
😱,1,people,Tue,23:56:48,919,toulouse
,0,,Tue,23:56:38,221,toulouse
💕😍,2,symbols people,Tue,23:56:33,1101,toulouse
,0,,Tue,23:56:28,857,toulouse
😞,1,people,Tue,23:56:21,92,toulouse
,0,,Tue,23:56:13,4280,toulouse
😂🙄,2,people people,Tue,23:56:05,487,toulouse
,0,,Tue,23:56:02,84,toulouse
,0,,Tue,23:55:58,40,toulouse
🙄,1,people,Tue,23:55:48,221,toulouse
🎶,1,symbols,Tue,23:55:44,1101,toulouse
,0,,Tue,23:55:34,4280,toulouse
,0,,Tue,23:55:31,869,toulouse
,0,,Tue,23:55:26,207,toulouse
,0,,Tue,23:55:23,15,toulouse
,0,,Tue,23:55:22,15,toulouse
,0,,Tue,23:55:22,15,toulouse
,0,,Tue,23:55:22,15,toulouse
,0,,Tue,23:55:21,15,toulouse
,0,,Tue,23:55:21,15,toulouse
,0,,Tue,23:55:21,15,toulouse
,0,,Tue,23:55:20,15,toulouse
,0,,Tue,23:55:20,15,toulouse
,0,,Tue,23:55:20,15,toulouse
,0,,Tue,23:55:11,4177,toulouse
😌,1,people,Tue,23:55:03,918,toulouse
,0,,Tue,23:54:58,109,toulouse
😐,1,people,Tue,23:54:49,178,toulouse
,0,,Tue,23:54:37,2981,toulouse
,0,,Tue,23:54:35,206,toulouse
,0,,Tue,23:54:33,1876,toulouse
,0,,Tue,23:54:26,218,toulouse
,0,,Tue,23:54:24,37,toulouse
,0,,Tue,23:54:23,404,toulouse
,0,,Tue,23:54:18,857,toulouse
,0,,Tue,23:54:16,300,toulouse
,0,,Tue,23:54:01,4280,toulouse
,0,,Tue,23:53:59,38,toulouse
🎤🔥,2,activity nature,Tue,23:53:59,12936,toulouse
😐,1,people,Tue,23:53:55,285,toulouse
,0,,Tue,23:53:54,38,toulouse
😞,1,people,Tue,23:53:53,221,toulouse
,0,,Tue,23:53:47,143,toulouse
,0,,Tue,23:53:37,206,toulouse
,0,,Tue,23:53:37,109,toulouse
,0,,Tue,23:53:35,107,toulouse
,0,,Tue,23:53:34,4280,toulouse
😐,1,people,Tue,23:53:31,221,toulouse
😨,1,people,Tue,23:53:27,487,toulouse
,0,,Tue,23:53:19,270,toulouse
,0,,Tue,23:53:12,218,toulouse
,0,,Tue,23:53:10,588,toulouse
🏽🖕,2,modifier people,Tue,23:53:04,111,toulouse
😐,1,people,Tue,23:53:02,1004,toulouse
🏻😂💨🙈🖕,5,modifier people nature nature people,Tue,23:53:01,2981,toulouse
,0,,Tue,23:52:59,122,toulouse
,0,,Tue,23:52:50,202,toulouse
,0,,Tue,23:52:43,60,toulouse
😁,1,people,Tue,23:52:42,224,toulouse
,0,,Tue,23:52:40,69,toulouse
💕,1,symbols,Tue,23:52:38,224,toulouse
😂,1,people,Tue,23:52:31,869,toulouse
😕,1,people,Tue,23:52:29,221,toulouse
,0,,Tue,23:52:25,109,toulouse
,0,,Tue,23:52:07,57,toulouse
😌,1,people,Tue,23:52:06,471,toulouse
,0,,Tue,23:52:03,1885,toulouse
,0,,Tue,23:52:00,857,toulouse
,0,,Tue,23:51:53,109,toulouse
😌,1,people,Tue,23:51:50,487,toulouse
😂,1,people,Tue,23:51:44,558,toulouse
,0,,Tue,23:51:43,4280,toulouse
,0,,Tue,23:51:41,128,toulouse
😪,1,people,Tue,23:51:36,869,toulouse
😂,1,people,Tue,23:51:29,100,toulouse
,0,,Tue,23:51:27,128,toulouse
,0,,Tue,23:51:22,857,toulouse
,0,,Tue,23:51:16,4280,toulouse
,0,,Tue,23:51:12,109,toulouse
,0,,Tue,23:51:08,224,toulouse
😂,1,people,Tue,23:51:06,312,toulouse
😎,1,people,Tue,23:50:53,31017,toulouse
,0,,Tue,23:50:46,69,toulouse
,0,,Tue,23:50:43,92,toulouse
😅,1,people,Tue,23:50:40,2901,toulouse
,0,,Tue,23:50:36,4280,toulouse
😭,1,people,Tue,23:50:31,92,toulouse
,0,,Tue,23:50:25,206,toulouse
😂,1,people,Tue,23:50:23,221,toulouse
😂😌,2,people people,Tue,23:50:13,102,toulouse
,0,,Tue,23:50:06,2,toulouse
,0,,Tue,23:50:05,1644,toulouse
